Name,Address,Grade,District,AGA Division,PS/MC/UC
BAVARIAN BARN RESTAURANT,"NO. 11, GALLE FACE COURT 02 COLOMBO",A,Colombo,Colombo,Colombo Divisional Secretariat
LORDS RESTAURANT,80B PORUTHOTA ROAD ETTHUKALA NEGOMBO,A,Gampaha,Negombo,Negombo Divisional Secretariat
NIHONBASHI RESTAURANT,"NO 11, GALLE FACE TERRACE, COLOMBO 03",A,Colombo,Colombo,Colombo Divisional Secretariat
FREE WIND RESTAURANT & BAR,"NO 1285, KANDY ROAD, PALAIYOOTHU, TRINCO MALEE",A,Trincomalee,Uppuveli Trinco Malee,Trincomalee Divisional Secretariat
EDWIN RESTAURANT,"204, LEWIS PLACE, NEGOMBO",B,Gampaha,Negombo,Negombo Divisional Secretariat
DAKSHINA RESTAURANT,"154/A, KANDY RD, DALUGAMA,KELANIYA",B,Gampaha,Peliyagoda,Mahara Kelaniya
KUMU KUMA CHINESE RESTAURANT,"278/2, HIGHLEVEL RD, MAHALWARAWA, PANNIPITIYA",A,Colombo,Maharagama,Maharagama Divisional Secretariat
HANSAGIRI RESTAURANT,"192 1/1, BODHIRAJA MAWATHA, COLOMBO 11",A,Colombo,Colombo,Colombo Divisional Secretariat
JAYALATH INN RESTAURANT,"269, WELIGAMPITIYA JA-ELA",A,Gampaha,Ja-Ela,Ja-Ela Divisional Secretariat
GREAT WALL RESTAURANTS,"N0.03, EDWARD LANE COLOMBO 03",A,Colombo,Colombo,Colombo Divisional Secretariat
EXCEL RESTAURANTS,"338, T.B. JAYAH MAWATHA, COLOMBO 10",A,Colombo,Colombo,Colombo Divisional Secretariat
PUBS AND PLACES- KANDY,"N0.30, GEORGE E.DE SILVA MAWATHA, KANDY",A,Kandy,Kandy,Kandy Divisional Secretariat
KANDOORI RESTAURANT (BERUWALA),"428, GALLE ROAD, HETTIMULLA BERUWALA",A,Kalutara,Beruwala Pradeshiya Sabha,Beruwala Divisional Secretariat
SENANI RESTAURANT,"NO 30,RAJAPIHILLA MAWATHA, KANDY",A,Kandy,Kandy,Kandy Divisional Secretariat
JANAHITHA RESTAURANT,"107/1 MAKOLA SOUTH, MAKOLA",A,Gampaha,Biyagama Pradeshiya Sabha,Biyagama Divisional Secretariat
FLAG & WHISTLE RESTAURANT & PUB,"NO.256,SETHMIL BUILDING,5TH FLOOR,SRIMATH RAMANATHAN MAWATHA,COLOMBO 15.",A,Colombo,Colombo,Colombo Divisional Secretariat
CHANVAL RESTAURANT (MAHARAGAMA),"NO. 5/2 5/3 SRI DEWANANDA ROAD,NAWINNA,MAHARAGAMA.",A,Colombo,Maharagama,Maharagama Divisional Secretariat
PUBS AND PLACES - YATINUWARA,"60/1,YATINUWARA WEEDIYA,KANDY",B,Kandy,Kandy,Kandy Divisional Secretariat
